ct_srv_dst,proto,bytes_sent,sbytes,dbytes,service,packet_count,state,dur,isolation_score,is_anomaly
1,113,12029826,12029826,59288,9,10462,2,59.81995,-0.7999024496127689,True
1,113,12500367,12500367,61132,9,10804,2,59.956612,-0.7999024496127689,True
1,113,12536928,12536928,61446,0,10834,2,59.954422,-0.7996619504768684,True
1,113,11085528,11085528,55276,9,9696,2,59.982727,-0.7993614296059733,True
1,113,9173970,9173970,44926,9,7986,2,59.970741,-0.7988207755221074,True
1,113,9005859,9005859,45006,9,7808,2,59.943401,-0.7988207755221074,True
1,113,10126002,10126002,49880,9,8820,2,59.837868,-0.7988207755221074,True
1,113,11063467,11063467,54180,9,9584,2,59.949772,-0.7982804871136763,True
1,113,10508068,10508068,52700,0,9206,2,59.980972,-0.7980404756379644,True
1,113,6214306,6214306,32350,9,5346,2,59.866161,-0.7977405641333528,True
